research_id,research_name
643,Academic
560,Accreditation
247,Advanced Materials
378,Advanced Materials
735,Advisory Committees/Review Panels
616,Aerospace
1086,Alternative Energy
425,Assessment
473,Atomic Physics
617,Automotive
561,Baldrige National Quality Program
821,Bioenergy
487,Biological Physics
822,Biomanufacturing
384,Biomaterials
307,Biometrics
961,Biomolecular Science
47,Bioscience & Health
532,Biosecurity
734,Budget/Acquisitions
180,Building and Fire Codes and Standards
48,Building and Fire Research
175,Building and Fire Safety Investigations
155,Building Economics
148,Building Materials
736,Capital Planning and Investment
389,Ceramics
644,Certification
438,"Characterization, Nanometrology, and Nanoscale Measurements"
181,Chemical Analysis
191,Chemical Engineering & Processing
962,Chemical Physics
488,Chemical Physics
208,Chemicals and Allied Products
49,Chemistry
737,Chief Human Capital Officer
209,Classical Analytical
215,Climate Science
300,Climate Science
1106,Cloud Computing
489,Cold Atoms
642,Collaborations
308,Computer Forensics
309,Computer Security
490,Condensed Matter Physics
963,Condensed Matter Physics
742,Conferences
313,Conformance Testing
743,Congressional Testimony
645,Consortiums
143,Construction Integration and Automation
533,Consumer Safety
646,CRADA
1107,Cyber Education
139,Cybernetic Building Systems
314,Cybersecurity
316,Data and Informatics
315,Data Mining
826,Diagnostics
534,Disaster Investigations
881,Documentary Standards
832,Drugs/Pharmaceuticals
964,Earth Sciences
535,Earthquakes
744,Economics
745,Educational
288,Electric Power Metrology
248,Electromagnetics
498,Electron Physics
319,Electronic Commerce
250,Electronic Temperature Standard
50,Electronics & Telecommunications
746,Employee Assistance Program
747,Employment
334,Energy
51,Energy
290,Energy Conservation
289,"Energy Conversion, Storage, and Transport"
965,Engineering/Residual Stress
52,Environment/Climate
841,Environmental
297,Environmental Technologies
395,Evaluation
647,Facilities/Instruments
159,Fire Protection Technologies
536,Fire Research
179,Fire Research Grants Program
542,First Responder
845,Food Safety/Nutrition/Cosmetics
219,Forensics
291,Fossil Fuels
618,Fuels
223,Gas Metrology
657,Grants
335,Green Manufacturing
336,Growth Services
656,Guest Researcher
246,Hazardous Waste Reduction
320,Health IT
94,High Performance Buildings
749,History
543,Homeland Security
166,Homeland Security and Disaster Resilience
856,Homeland Security/Forensics/Human Identity
400,Hybrid Materials
323,Imaging
426,Impacts
658,Industry
322,Information Delivery Systems
324,Information Processing Systems
53,Information Technology
224,Inorganic Analytical Chemistry
401,Inorganic Materials
427,Instrumentation
966,Instrumentation
659,Interagency Relationships
660,International
337,International Trade
499,Ion Trapping
500,Laser Cooling
501,Laser Physics
550,Law Enforcement
338,Lean Manufacturing
750,Legislation
325,Licensed Scientific Software Distribution
671,Licensing/Patents
860,Life Sciences Research
252,Magnetics
571,Manufacturing
54,Manufacturing
301,Marine Health
619,Materials
967,Materials Chemistry and Crystallography
55,Materials Science
125,Math
428,Measurement Needs
429,Measurement Services
430,Measurement Solutions
895,Measurement Standards
572,Measurement Systems
126,Measurements
833,Medical Devices
502,Medical Physics
404,Metals
1126,Methods
339,Metrology
254,Microelectronics
228,Microfluidics
259,Microwave Measurement Services
422,Modeling
503,Molecular Physics
751,Museum
436,Nanobiotechnology
437,Nanochemistry
446,Nanoelectronics and Nanoscale Electronics
450,"Nanofabrication, Nanomanufacturing, and Nanoprocessing"
462,Nanofluidics
463,Nanomagnetics
360,Nanomanufacturing
410,Nanomaterials
464,Nanomechanics
467,Nanophysics
469,Nanostructured Materials
468,"Nanotech/Environment, Health & Safety"
302,"Nanotech/Environment, Health & Safety"
840,"Nanotech/Environment, Health & Safety"
127,Nanotechnology
326,Networking
968,Neutron Physics
128,Neutron Research
752,News Releases
732,NIST General
672,Nonprofit
229,Nuclear Analytical Chemistry
504,Nuclear Physics
359,Ontologies
753,Operating Units
505,Optical Metrology
506,Optical Physics
831,Optical Properties of Materials
1002,Optical Technology
508,Optics
260,Optoelectronics
235,Organic Analytical Chemistry
673,Outreach
129,Physics
674,Pilots
509,Plasma Physics
431,Policy
303,Pollution/Indoor Air Quality
411,Polymers
361,Process Improvement
363,Product Data
1146,Protocols
130,Public Safety/Security
131,Quality
270,Quantum Communications
327,Quantum Computing
262,Quantum Electrical Measurements
512,Quantum Information
268,Quantum Information and Measurements
520,Quantum Optics
525,Quantum Physics
526,Radiation Physics
620,Rail
1166,Reactor Engineering
527,Remote Sensing
767,Research Library
364,RFID
557,Risk Analysis
432,Roadmaps
558,Robotics
365,Robotics
675,SBIR
328,Scientific Computing
421,Semiconductor Materials
271,Semiconductors
281,Sensors
370,Simulation
282,Single Electronics
677,Small Business
969,Soft Condensed Matter
423,Software
573,Software
330,Software Testing Metrics
238,Spectroscopy
862,Standard Reference Data
304,Standard Reference Data
244,Standard Reference Data
245,Standard Reference Materials
305,Standard Reference Materials
861,Standard Reference Materials
132,Standards
676,Standards Development Organizations (SDO)
678,State Relations
424,Statistics
371,Strategic Management
768,Strategic Planning
559,Structural Safety
283,Superconductors
373,Supplier Development
372,Supply Chain
528,Surface Physics
295,Sustainability
374,Sustainable Manufacturing
530,Synchrotron
331,System Development Lifecycle (SDLC)
375,Systems Integration
1025,Technology Acceleration
376,Technology Commercialization
377,Technology Deployment
332,Telcommunications/Wireless
284,Telecommunications
531,Time and Frequency
133,Transportation
306,U.S. Measurement System
433,U.S. Measurement System
285,U.S. Measurement System
296,U.S. Measurement System
863,U.S. Measurement System
933,U.S. Measurement System
333,Voting Standards
434,Weights & Measures
286,Wireless
731,Work Force
1024,Work Force
